id	files_all	impl_files	test_files	nontest_impl
SPEC-COPILOT-AUTOPATCH-001	15	9	4	5
SPEC-COPILOT-AXISCORE-001	0	0	0	0
SPEC-COPILOT-BLOCKED16-001	9	0	0	0
SPEC-COPILOT-BUSKWIZ-001	23	11	7	4
SPEC-COPILOT-COLORPRESET-001	13	8	4	4
SPEC-COPILOT-CUETIME-001	0	0	0	0
SPEC-COPILOT-DASHUI-001	34	12	7	5
SPEC-COPILOT-DEPLOY-001	162	84	53	31
SPEC-COPILOT-EVAL-001	451	0	0	0
SPEC-COPILOT-EXECBODY-001	23	8	6	2
SPEC-COPILOT-EXECREF-001	16	3	2	1
SPEC-COPILOT-FILEARG-001	13	3	1	2
SPEC-COPILOT-FXGEN-001	1	0	0	0
SPEC-COPILOT-FXLIB-001	28	19	9	10
SPEC-COPILOT-GROUPGEN-001	17	9	4	5
SPEC-COPILOT-IMGLAYOUT-001	35	14	5	9
SPEC-COPILOT-INTENT-001	6	2	1	1
SPEC-COPILOT-INTROSPECT-001	17	10	4	6
SPEC-COPILOT-LDGUIDE-001	8	0	0	0
SPEC-COPILOT-LOOKLIB-001	34	24	10	14
SPEC-COPILOT-LXSEQ-001	22	12	6	6
SPEC-COPILOT-LXSEQ-002	26	21	10	11
SPEC-COPILOT-LXSEQ-003	26	19	10	9
SPEC-COPILOT-MCP-001	15	9	4	5
SPEC-COPILOT-MVP-001	154	113	48	65
SPEC-COPILOT-OVERLAP-001	37	22	11	11
SPEC-COPILOT-PARITY-001	18	6	2	4
SPEC-COPILOT-PRECHK-001	41	23	10	13
SPEC-COPILOT-PRESETGUARD-001	0	0	0	0
SPEC-COPILOT-PRESETGUARD-002	0	0	0	0
SPEC-COPILOT-PRESETIDEM-001	11	4	2	2
SPEC-COPILOT-RECVOBS-001	25	2	2	0
SPEC-COPILOT-RESTORE-001	1	0	0	0
SPEC-COPILOT-SCENE-001	32	24	12	12
SPEC-COPILOT-SHEETPIPE-001	23	10	5	5
SPEC-COPILOT-SHOWUI-001	35	11	5	6
SPEC-COPILOT-SONGCUE-001	28	17	11	6
SPEC-COPILOT-SONGSTD-001	6	3	3	0
SPEC-COPILOT-SPATIAL-001	15	9	4	5
SPEC-COPILOT-SPATIALMEM-001	20	15	6	9
SPEC-COPILOT-TREEID-001	28	21	1	20
SPEC-COPILOT-TRUNCATE-001	13	9	4	5
SPEC-COPILOT-UNREQ-001	25	7	5	2
SPEC-COPILOT-VWX-001	125	82	48	34
SPEC-COPILOT-WRITEGATE-001	15	9	4	5
