# origin/main commits scanned: 794
# SPEC directories: 45
id	status	files	prog_bytes	synced	commits	first	last
SPEC-COPILOT-AUTOPATCH-001	draft	spag	537016	no	49	2026-08-06	2026-08-12
SPEC-COPILOT-AXISCORE-001	draft	spag	12322	no	0	-	-
SPEC-COPILOT-BLOCKED16-001	completed	spag	122171	no	2	2026-08-23	2026-08-23
SPEC-COPILOT-BUSKWIZ-001	completed	spag	94869	no	3	2026-07-27	2026-07-29
SPEC-COPILOT-COLORPRESET-001	draft	sp.g	2237	no	4	2026-08-16	2026-08-30
SPEC-COPILOT-CUETIME-001	no-status-field	spag	5632	no	1	2026-08-14	2026-08-14
SPEC-COPILOT-DASHUI-001	completed	spag	39548	yes	16	2026-07-24	2026-07-24
SPEC-COPILOT-DEPLOY-001	in-progress	spag	121059	yes	56	2026-07-20	2026-08-25
SPEC-COPILOT-EVAL-001	completed	spag	6749	yes	9	2026-07-15	2026-07-16
SPEC-COPILOT-EXECBODY-001	completed	spag	32561	yes	18	2026-07-23	2026-07-24
SPEC-COPILOT-EXECREF-001	completed	spag	21757	yes	10	2026-07-23	2026-07-23
SPEC-COPILOT-FILEARG-001	in-progress	spag	47012	no	2	2026-08-24	2026-08-24
SPEC-COPILOT-FXGEN-001	completed	s...	0	no	4	2026-08-15	2026-08-30
SPEC-COPILOT-FXLIB-001	completed	spag	59350	yes	1	2026-08-01	2026-08-01
SPEC-COPILOT-GROUPGEN-001	completed	spag	65751	no	12	2026-08-03	2026-08-30
SPEC-COPILOT-IMGLAYOUT-001	completed	s...	0	no	16	2026-08-15	2026-08-24
SPEC-COPILOT-INTENT-001	in-progress	spag	4802	no	1	2026-08-23	2026-08-23
SPEC-COPILOT-INTROSPECT-001	draft	spag	44521	no	6	2026-08-04	2026-08-24
SPEC-COPILOT-LDGUIDE-001	completed	spag	53304	yes	1	2026-08-18	2026-08-18
SPEC-COPILOT-LOOKLIB-001	completed	spag	165740	yes	21	2026-07-26	2026-08-30
SPEC-COPILOT-LXSEQ-001	implemented	spag	109909	yes	2	2026-08-22	2026-08-30
SPEC-COPILOT-LXSEQ-002	draft	spag	62375	no	1	2026-08-25	2026-08-25
SPEC-COPILOT-LXSEQ-003	draft	spag	36065	no	9	2026-08-25	2026-08-30
SPEC-COPILOT-MCP-001	draft	spag	4875	no	3	2026-08-04	2026-08-12
SPEC-COPILOT-MVP-001	in-progress	spag	168717	no	76	2026-07-16	2026-07-22
SPEC-COPILOT-OVERLAP-001	completed	spag	173805	no	4	2026-08-01	2026-08-12
SPEC-COPILOT-PARITY-001	completed	spag	63756	yes	3	2026-08-22	2026-08-22
SPEC-COPILOT-PRECHK-001	completed	spag	178882	no	5	2026-07-30	2026-08-23
SPEC-COPILOT-PRESETGUARD-001	completed	spag	30137	yes	11	2026-08-16	2026-08-16
SPEC-COPILOT-PRESETGUARD-002	draft	s...	0	no	2	2026-08-16	2026-08-16
SPEC-COPILOT-PRESETIDEM-001	draft	s.ag	5213	no	1	2026-08-25	2026-08-25
SPEC-COPILOT-RECVOBS-001	completed	spag	17618	yes	1	2026-08-26	2026-08-26
SPEC-COPILOT-RESTORE-001	no-spec.md	....	0	no	1	2026-08-30	2026-08-30
SPEC-COPILOT-SCENE-001	completed	spag	137468	yes	4	2026-08-02	2026-08-02
SPEC-COPILOT-SHEETPIPE-001	in-progress	spag	36636	no	3	2026-08-24	2026-08-24
SPEC-COPILOT-SHOWUI-001	completed	spag	73711	no	12	2026-07-22	2026-07-25
SPEC-COPILOT-SONGCUE-001	completed	spag	122428	no	1	2026-07-30	2026-07-30
SPEC-COPILOT-SONGSTD-001	no-status-field	spa.	0	no	2	2026-08-14	2026-08-30
SPEC-COPILOT-SPATIAL-001	completed	spag	64276	no	5	2026-08-03	2026-08-12
SPEC-COPILOT-SPATIALMEM-001	completed	s...	0	no	3	2026-08-20	2026-08-20
SPEC-COPILOT-TREEID-001	draft	spa.	0	no	1	2026-08-25	2026-08-25
SPEC-COPILOT-TRUNCATE-001	draft	spa.	0	no	3	2026-08-20	2026-08-30
SPEC-COPILOT-UNREQ-001	implemented	spa.	0	no	1	2026-08-25	2026-08-25
SPEC-COPILOT-VWX-001	draft	spag	93937	no	42	2026-08-05	2026-08-12
SPEC-COPILOT-WRITEGATE-001	in-progress	spag	18275	no	2	2026-08-05	2026-08-12
