Channel,Fixture ID,Instrument Type,GDTF Fixture Mode,Universe,U Address,Absolute Address,GDTF Fixture,DMX Footprint,Fixture Name,Device Type,Position,Unit Number,Layer,Color,UID
1,1,MAC Encore Performance CLD,Basic,1,1,1,Martin Professional@MAC Encore Performance CLD,38,Spot 1,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-4B99-F70B-825C-03E991B0D613
2,2,MAC Encore Performance CLD,Basic,1,39,39,Martin Professional@MAC Encore Performance CLD,38,Spot 2,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-0D85-7857-CDD5-18E491B0D613
3,3,MAC Encore Performance CLD,Basic,1,77,77,Martin Professional@MAC Encore Performance CLD,38,Spot 3,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-6318-933D-184F-30DF91B0D613
4,4,MAC Encore Performance CLD,Basic,1,115,115,Martin Professional@MAC Encore Performance CLD,38,Spot 4,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-CC22-5D1D-63C0-49DA91B0D613
5,5,MAC Encore Performance CLD,Basic,1,153,153,Martin Professional@MAC Encore Performance CLD,38,Spot 5,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-5C61-1222-AE39-61D591B0D613
6,6,MAC Encore Performance CLD,Basic,1,191,191,Martin Professional@MAC Encore Performance CLD,38,Spot 6,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-A3D0-C308-F9B2-7ED091B0D613
7,7,MAC Encore Performance CLD,Basic,1,229,229,Martin Professional@MAC Encore Performance CLD,38,Spot 7,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-8B63-3656-4434-96CB91B0D613
8,8,MAC Encore Performance CLD,Basic,1,267,267,Martin Professional@MAC Encore Performance CLD,38,Spot 8,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-267E-F676-8FAD-AFC691B0D613
41,41,Rush Par 2 RGBW Zoom,5ch,3,1,1025,Martin@Rush Par 2 RGBW Zoom,5,LED Par 41,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-B0A2-7903-0112-AA5A90B0D613
42,42,Rush Par 2 RGBW Zoom,5ch,3,6,1030,Martin@Rush Par 2 RGBW Zoom,5,LED Par 42,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-745E-132C-4C8B-C35590B0D613
43,43,Rush Par 2 RGBW Zoom,5ch,3,11,1035,Martin@Rush Par 2 RGBW Zoom,5,LED Par 43,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-1C49-9F49-970C-DB5090B0D613
44,44,Rush Par 2 RGBW Zoom,5ch,3,16,1040,Martin@Rush Par 2 RGBW Zoom,5,LED Par 44,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-1D2C-C150-E285-F04B90B0D613
45,45,Rush Par 2 RGBW Zoom,5ch,3,21,1045,Martin@Rush Par 2 RGBW Zoom,5,LED Par 45,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-3872-9763-2DFF-094790B0D613
46,46,Rush Par 2 RGBW Zoom,5ch,3,26,1050,Martin@Rush Par 2 RGBW Zoom,5,LED Par 46,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-8977-CD6C-7870-214290B0D613
47,47,Rush Par 2 RGBW Zoom,5ch,3,31,1055,Martin@Rush Par 2 RGBW Zoom,5,LED Par 47,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-1989-C47C-C3E9-3E3D90B0D613
201,201,Led Tile RGB8 Wall,Default,4,1,1537,Generic@Led Tile RGB8 Wall,3,LED Backwall 1,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-AE83-1F4F-85C1-CD1F91B0D613
202,202,Led Tile RGB8 Wall,Default,4,4,1540,Generic@Led Tile RGB8 Wall,3,LED Backwall 2,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-9691-EE36-D03A-E51A91B0D613
203,203,Led Tile RGB8 Wall,Default,4,7,1543,Generic@Led Tile RGB8 Wall,3,LED Backwall 3,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-98E9-054A-1BBC-F21591B0D613
204,204,Led Tile RGB8 Wall,Default,4,10,1546,Generic@Led Tile RGB8 Wall,3,LED Backwall 4,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-BA7D-8F4C-6635-0A1191B0D613
205,205,Led Tile RGB8 Wall,Default,4,13,1549,Generic@Led Tile RGB8 Wall,3,LED Backwall 5,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-9A10-2C76-B1AE-230C91B0D613
206,206,Led Tile RGB8 Wall,Default,4,16,1552,Generic@Led Tile RGB8 Wall,3,LED Backwall 6,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-3EB2-DB4B-FC27-3B0791B0D613
207,207,Led Tile RGB8 Wall,Default,4,19,1555,Generic@Led Tile RGB8 Wall,3,LED Backwall 7,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-10B5-7E4D-4799-500291B0D613
208,208,Led Tile RGB8 Wall,Default,4,22,1558,Generic@Led Tile RGB8 Wall,3,LED Backwall 8,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-22B0-6F0E-9212-68FD91B0D613
209,209,Led Tile RGB8 Wall,Default,4,25,1561,Generic@Led Tile RGB8 Wall,3,LED Backwall 9,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-4929-4A6D-DD8B-81F891B0D613
210,210,Led Tile RGB8 Wall,Default,4,28,1564,Generic@Led Tile RGB8 Wall,3,LED Backwall 10,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-F1E3-925B-280D-99F391B0D613
211,211,Led Tile RGB8 Wall,Default,4,31,1567,Generic@Led Tile RGB8 Wall,3,LED Backwall 11,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-73B7-4B05-7386-B6EE91B0D613
212,212,Led Tile RGB8 Wall,Default,4,34,1570,Generic@Led Tile RGB8 Wall,3,LED Backwall 12,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-9087-5323-BEFF-CFE991B0D613
213,213,Led Tile RGB8 Wall,Default,4,37,1573,Generic@Led Tile RGB8 Wall,3,LED Backwall 13,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-8BE8-5153-0971-E7E491B0D613
214,214,Led Tile RGB8 Wall,Default,4,40,1576,Generic@Led Tile RGB8 Wall,3,LED Backwall 14,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-AB47-A04E-54EA-FCDF92B0D613
215,215,Led Tile RGB8 Wall,Default,4,43,1579,Generic@Led Tile RGB8 Wall,3,LED Backwall 15,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-4F92-CC5E-9F63-14DB92B0D613
216,216,Led Tile RGB8 Wall,Default,4,46,1582,Generic@Led Tile RGB8 Wall,3,LED Backwall 16,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-4FB7-002A-EAE4-2DD692B0D613
217,217,Led Tile RGB8 Wall,Default,4,49,1585,Generic@Led Tile RGB8 Wall,3,LED Backwall 17,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-6234-1F3B-355E-45D192B0D613
218,218,Led Tile RGB8 Wall,Default,4,52,1588,Generic@Led Tile RGB8 Wall,3,LED Backwall 18,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-2D4F-1116-80D7-52CC92B0D613
219,219,Led Tile RGB8 Wall,Default,4,55,1591,Generic@Led Tile RGB8 Wall,3,LED Backwall 19,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-6067-A86B-CB48-6AC792B0D613
220,220,Led Tile RGB8 Wall,Default,4,58,1594,Generic@Led Tile RGB8 Wall,3,LED Backwall 20,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-72D3-6944-16C2-83C292B0D613
221,221,Led Tile RGB8 Wall,Default,4,61,1597,Generic@Led Tile RGB8 Wall,3,LED Backwall 21,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-C1A1-153C-613B-9BBD92B0D613
222,222,Led Tile RGB8 Wall,Default,4,64,1600,Generic@Led Tile RGB8 Wall,3,LED Backwall 22,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-DDB4-583B-ACBC-B0B892B0D613
223,223,Led Tile RGB8 Wall,Default,4,67,1603,Generic@Led Tile RGB8 Wall,3,LED Backwall 23,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-2FFB-5B1F-F735-C8B392B0D613
224,224,Led Tile RGB8 Wall,Default,4,70,1606,Generic@Led Tile RGB8 Wall,3,LED Backwall 24,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-5918-9C19-42AF-E1AE92B0D613
225,225,Led Tile RGB8 Wall,Default,4,73,1609,Generic@Led Tile RGB8 Wall,3,LED Backwall 25,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-0620-352E-8D20-F9A992B0D613
226,226,Led Tile RGB8 Wall,Default,4,76,1612,Generic@Led Tile RGB8 Wall,3,LED Backwall 26,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-E988-0F12-D899-16A592B0D613
227,227,Led Tile RGB8 Wall,Default,4,79,1615,Generic@Led Tile RGB8 Wall,3,LED Backwall 27,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-3463-F715-2313-2EA092B0D613
228,228,Led Tile RGB8 Wall,Default,4,82,1618,Generic@Led Tile RGB8 Wall,3,LED Backwall 28,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-5A04-3965-6E94-479B92B0D613
229,229,Led Tile RGB8 Wall,Default,4,85,1621,Generic@Led Tile RGB8 Wall,3,LED Backwall 29,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-2890-CA79-B90D-5F9692B0D613
230,230,Led Tile RGB8 Wall,Default,4,88,1624,Generic@Led Tile RGB8 Wall,3,LED Backwall 30,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-8DAA-C73C-0487-749193B0D613
231,231,Led Tile RGB8 Wall,Default,4,91,1627,Generic@Led Tile RGB8 Wall,3,LED Backwall 31,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-67B7-3D66-4FF8-8D8C93B0D613
232,232,Led Tile RGB8 Wall,Default,4,94,1630,Generic@Led Tile RGB8 Wall,3,LED Backwall 32,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-3618-F94E-9A71-A58793B0D613
