UID,Device Type,Part Index,System,Absolute Address,DMX Footprint,Fixture Name,Fixture Type,GDTF Fixture,Channel,Unit Number,Position,Mode,Dimmer,Circuit Number,Circuit Name,Purpose,Color,Gobo,Focus,X Location,Y Location,Z Location,Z Rotation,Pan,Tilt,Notes
VWX-A-0001,Lighting Device,,A,1,39,MegaPointe 1,Robe MegaPointe,Robe Lighting@MegaPointe,101,1,Main Truss,Mode 1 39ch,,A-TR-001,LX-Net A,Beam profile SL,Open,,DS Center,-6000,0,7200,0,0,-35,
VWX-A-0002,Lighting Device,,A,45,1,S4 26 1,ETC Source Four 26deg,ETC@Source Four 26deg,1,2,Main Truss,Dimmer,45,A-TR-002,Distro A,Key light DSL,R02,,DSL,-4200,0,7100,0,,,
VWX-A-0002-ACC1,Accessory,,A,,0,Top Hat for S4 26 1,6.25in Top Hat,,1,2A,Main Truss,,,A-TR-002,,Non-DMX accessory for glare control,,,,,,,0,,,Non-DMX accessory. Should not count as console fixture
VWX-A-0002-ACC2,Accessory,,A,150,1,Coloram II Scroller 1,Wybron Coloram II Scroller,Wybron@Coloram II Scroller,1,2B,Main Truss,Scroller 1ch,,A-TR-002-SCR,LX-Net A,DMX accessory color scroll,Scroll A,,DSL,-4200,0,7100,0,,,DMX-consuming accessory
VWX-A-0003-CELL01,Lighting Device,1,A,201,8,ColorForce 72 1,Chroma-Q Color Force II 72,Chroma-Q@Color Force II 72,301,3,Main Truss,8 Cell RGBW,,A-TR-003-C1,LX-Net A,Backlight cell 1,RGBW,,Upstage Wash,-2800,200,6900,0,,,Multicell fixture: Vectorworks worksheet row per cell
VWX-A-0003-CELL02,Lighting Device,2,A,209,8,ColorForce 72 1,Chroma-Q Color Force II 72,Chroma-Q@Color Force II 72,301,3,Main Truss,8 Cell RGBW,,A-TR-003-C2,LX-Net A,Backlight cell 2,RGBW,,Upstage Wash,-2000,200,6900,0,,,Multicell fixture: Vectorworks worksheet row per cell
VWX-A-0003-CELL03,Lighting Device,3,A,217,8,ColorForce 72 1,Chroma-Q Color Force II 72,Chroma-Q@Color Force II 72,301,3,Main Truss,8 Cell RGBW,,A-TR-003-C3,LX-Net A,Backlight cell 3,RGBW,,Upstage Wash,-1200,200,6900,0,,,Multicell fixture: Vectorworks worksheet row per cell
VWX-A-0003-CELL04,Lighting Device,4,A,225,8,ColorForce 72 1,Chroma-Q Color Force II 72,Chroma-Q@Color Force II 72,301,3,Main Truss,8 Cell RGBW,,A-TR-003-C4,LX-Net A,Backlight cell 4,RGBW,,Upstage Wash,-400,200,6900,0,,,Multicell fixture: Vectorworks worksheet row per cell
VWX-A-0003-CELL05,Lighting Device,5,A,233,8,ColorForce 72 1,Chroma-Q Color Force II 72,Chroma-Q@Color Force II 72,301,3,Main Truss,8 Cell RGBW,,A-TR-003-C5,LX-Net A,Backlight cell 5,RGBW,,Upstage Wash,400,200,6900,0,,,Multicell fixture: Vectorworks worksheet row per cell
VWX-A-0003-CELL06,Lighting Device,6,A,241,8,ColorForce 72 1,Chroma-Q Color Force II 72,Chroma-Q@Color Force II 72,301,3,Main Truss,8 Cell RGBW,,A-TR-003-C6,LX-Net A,Backlight cell 6,RGBW,,Upstage Wash,1200,200,6900,0,,,Multicell fixture: Vectorworks worksheet row per cell
VWX-A-0003-CELL07,Lighting Device,7,A,249,8,ColorForce 72 1,Chroma-Q Color Force II 72,Chroma-Q@Color Force II 72,301,3,Main Truss,8 Cell RGBW,,A-TR-003-C7,LX-Net A,Backlight cell 7,RGBW,,Upstage Wash,2000,200,6900,0,,,Multicell fixture: Vectorworks worksheet row per cell
VWX-A-0003-CELL08,Lighting Device,8,A,257,8,ColorForce 72 1,Chroma-Q Color Force II 72,Chroma-Q@Color Force II 72,301,3,Main Truss,8 Cell RGBW,,A-TR-003-C8,LX-Net A,Backlight cell 8,RGBW,,Upstage Wash,2800,200,6900,0,,,Multicell fixture: Vectorworks worksheet row per cell
,SUBTOTAL,,,,105,Subtotal Main Truss,,,,,Main Truss,,,,,,,,,,,,,,,Subtotal row intentionally included for parser filtering
VWX-B-0001,Lighting Device,,A,513,115,MAC Aura PXL 1,Martin MAC Aura PXL,Martin Professional@MAC Aura PXL,201,1,Downstage Truss,Extended 115ch,,A-DS-001,LX-Net A,DS wash SL,RGBW,,DS Apron,-5000,-3500,6500,0,10,-30,
VWX-B-0002,Lighting Device,,A,642,115,MAC Aura PXL 2,Martin MAC Aura PXL,Martin Professional@MAC Aura PXL,202,2,Downstage Truss,Extended 115ch,,A-DS-002,LX-Net A,DS wash SR,RGBW,,DS Apron,5000,-3500,6500,0,-10,-30,
VWX-B-0003,Lighting Device,,A,0,16,Titan Tube 1,Astera Titan Tube,Astera@Titan Tube,203,3,Downstage Truss,RGB Pixel 16ch,,A-DS-003,Unpatched Hold,Practical tube spare,RGB,,Practical,0,-3600,6200,0,,,"Unpatched fixture: DMX Address 0, not same as non-DMX accessory"
,SUBTOTAL,,,,246,Subtotal Downstage Truss,,,,,Downstage Truss,,,,,,,,,,,,,,,Subtotal row intentionally included for parser filtering
VWX-C-0001,Lighting Device,,B,1,25,JDC1 Floor SL,GLP JDC1 Hybrid Strobe,GLP@JDC1,401,1,Floor Package SL,Mode 4 25ch,,B-FL-001,LX-Net B,Floor strobe SL,RGBW,,Audience Sweep,-4500,2500,1200,15,,,System B universe 1 creates absolute-address overlap with System A universe 1
VWX-C-0002,Lighting Device,,B,33,25,JDC1 Floor SR,GLP JDC1 Hybrid Strobe,GLP@JDC1,402,2,Floor Package SR,Mode 4 25ch,,B-FL-002,LX-Net B,Floor strobe SR,RGBW,,Audience Sweep,4500,2500,1200,-15,,,
,TOTAL,,,,401,Grand Total,,,,,,,,,,,,,,,,,,,,Grand total row intentionally included for parser filtering
