FID,Group,FixtureType,Position,X,Y,Z
101,KEY,ETC S4 LED S3 Lustr X8,FOH 브리지,-5.0,-9.0,7.5
102,KEY,ETC S4 LED S3 Lustr X8,FOH 브리지,-3.0,-9.0,7.5
103,KEY,ETC S4 LED S3 Lustr X8,FOH 브리지,-1.0,-9.0,7.5
104,KEY,ETC S4 LED S3 Lustr X8,FOH 브리지,1.0,-9.0,7.5
105,KEY,ETC S4 LED S3 Lustr X8,FOH 브리지,3.0,-9.0,7.5
106,KEY,ETC S4 LED S3 Lustr X8,FOH 브리지,5.0,-9.0,7.5
111,FOH,ETC S4 LED S3 Lustr X8,FOH 트러스,-6.0,-6.5,7.0
112,FOH,ETC S4 LED S3 Lustr X8,FOH 트러스,-4.29,-6.5,7.0
113,FOH,ETC S4 LED S3 Lustr X8,FOH 트러스,-2.57,-6.5,7.0
114,FOH,ETC S4 LED S3 Lustr X8,FOH 트러스,-0.86,-6.5,7.0
115,FOH,ETC S4 LED S3 Lustr X8,FOH 트러스,0.86,-6.5,7.0
116,FOH,ETC S4 LED S3 Lustr X8,FOH 트러스,2.57,-6.5,7.0
117,FOH,ETC S4 LED S3 Lustr X8,FOH 트러스,4.29,-6.5,7.0
118,FOH,ETC S4 LED S3 Lustr X8,FOH 트러스,6.0,-6.5,7.0
601,BLIND,Elation CUEPIX Blinder WW2,다운 트러스 전면,-4.5,-3.2,6.5
602,BLIND,Elation CUEPIX Blinder WW2,다운 트러스 전면,-2.7,-3.2,6.5
603,BLIND,Elation CUEPIX Blinder WW2,다운 트러스 전면,-0.9,-3.2,6.5
604,BLIND,Elation CUEPIX Blinder WW2,다운 트러스 전면,0.9,-3.2,6.5
605,BLIND,Elation CUEPIX Blinder WW2,다운 트러스 전면,2.7,-3.2,6.5
606,BLIND,Elation CUEPIX Blinder WW2,다운 트러스 전면,4.5,-3.2,6.5
611,STROBE,Martin Atomic 3000 LED,업 트러스,-5.5,2.5,6.8
