FID,Group,FixtureType,Mode,Ch,Universe,Address,AddrRange,Position
101,KEY,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,1,1.001–012,FOH 브리지
102,KEY,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,13,1.013–024,FOH 브리지
103,KEY,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,25,1.025–036,FOH 브리지
104,KEY,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,37,1.037–048,FOH 브리지
105,KEY,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,49,1.049–060,FOH 브리지
106,KEY,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,61,1.061–072,FOH 브리지
111,FOH,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,73,1.073–084,FOH 트러스
112,FOH,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,85,1.085–096,FOH 트러스
113,FOH,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,97,1.097–108,FOH 트러스
114,FOH,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,109,1.109–120,FOH 트러스
115,FOH,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,121,1.121–132,FOH 트러스
116,FOH,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,133,1.133–144,FOH 트러스
117,FOH,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,145,1.145–156,FOH 트러스
118,FOH,ETC S4 LED S3 Lustr X8,Direct 12ch,12,1,157,1.157–168,FOH 트러스
601,BLIND,Elation CUEPIX Blinder WW2,4ch,4,1,169,1.169–172,다운 트러스 전면
602,BLIND,Elation CUEPIX Blinder WW2,4ch,4,1,173,1.173–176,다운 트러스 전면
603,BLIND,Elation CUEPIX Blinder WW2,4ch,4,1,177,1.177–180,다운 트러스 전면
604,BLIND,Elation CUEPIX Blinder WW2,4ch,4,1,181,1.181–184,다운 트러스 전면
605,BLIND,Elation CUEPIX Blinder WW2,4ch,4,1,185,1.185–188,다운 트러스 전면
606,BLIND,Elation CUEPIX Blinder WW2,4ch,4,1,189,1.189–192,다운 트러스 전면
611,STROBE,Martin Atomic 3000 LED,Extended 14ch,14,1,193,1.193–206,업 트러스
612,STROBE,Martin Atomic 3000 LED,Extended 14ch,14,1,207,1.207–220,업 트러스
613,STROBE,Martin Atomic 3000 LED,Extended 14ch,14,1,221,1.221–234,업 트러스
614,STROBE,Martin Atomic 3000 LED,Extended 14ch,14,1,235,1.235–248,업 트러스
621,HAZE,Look Unique 2.1,2ch,2,1,249,1.249–250,무대 양측 플로어
622,HAZE,Look Unique 2.1,2ch,2,1,251,1.251–252,무대 양측 플로어
501,MOVER-U,Robe MegaPointe,Mode 1 39ch,39,2,1,2.001–039,업 트러스
502,MOVER-U,Robe MegaPointe,Mode 1 39ch,39,2,40,2.040–078,업 트러스
503,MOVER-U,Robe MegaPointe,Mode 1 39ch,39,2,79,2.079–117,업 트러스
504,MOVER-U,Robe MegaPointe,Mode 1 39ch,39,2,118,2.118–156,업 트러스
505,MOVER-U,Robe MegaPointe,Mode 1 39ch,39,2,157,2.157–195,업 트러스
506,MOVER-U,Robe MegaPointe,Mode 1 39ch,39,2,196,2.196–234,업 트러스
507,MOVER-U,Robe MegaPointe,Mode 1 39ch,39,2,235,2.235–273,업 트러스
508,MOVER-U,Robe MegaPointe,Mode 1 39ch,39,2,274,2.274–312,업 트러스
521,MOVER-D,Robe Spiider,Mode 1 49ch,49,3,1,3.001–049,다운 트러스
