Q#,Group,Dim,COL,POS,BM,FX,FX-Rate,FX-Phase,FX-Width,I-Fade,I-Delay,P-Fade,C-Fade,B-Fade,Snap,Note
Q010,BACK,55,COL.01,POS.03,,,,,,0.0,,,0.0,,Y,
Q010,WASH-U,55,COL.01,,,,,,,0.0,,,0.0,,Y,
Q010,HAZE,40,,,,,,,,0.0,,,,,Y,[MANUAL] 30초 전 선투입 확인
Q020,KEY,70,COL.02,POS.01,,,,,,1.5,,,1.5,,,보컬 페이스 확보
Q020,BACK,35,,,,,,,,1.5,,,,,,레벨만 하강
Q020,WASH-U,0,,,,,,,,1.5,,,,,,소등 명시
Q030,SIDE-L,40,COL.06,,,FX.02,15,0..360,,2.0,,,2.0,,,@2bar 얕게
Q030,SIDE-R,40,COL.06,,,FX.02,15,0..360,,2.0,,,2.0,,,
Q040,SIDE-L,60,,,,FX.03,30,0..360,,8.0,,,,,,@1bar 호흡
Q040,SIDE-R,60,,,,FX.03,30,0..360,,8.0,,,,,,
Q040,MOVER-U,45,COL.06,POS.04,BM.02,,,,,8.0,0.0,8.0,4.0,2.0,,틸트업 8초 슬로우
Q040,KEY,60,COL.06,,,,,,,8.0,,,8.0,,,보컬 유지하며 색만 전환
Q050,MOVER-U,90,COL.04,POS.05,BM.03,FX.01,240,0..360,50,0.0,,0.6,,0.0,Y,팬아웃은 P-Fade 0.6 원샷 · 체이스 @1/8
Q050,MOVER-D,90,COL.01,POS.02,BM.01,FX.01,240,180..540,50,0.0,,0.6,,0.0,Y,U와 위상 반전
Q050,BACK,90,COL.04,,,,,,,0.0,,,0.0,,Y,
Q050,WASH-D,90,COL.01,,,,,,,0.0,,,0.0,,Y,
Q050,SIDE-L,0,,,,OFF,,,,0.0,,,,,Y,페이저 정지+소등
Q050,SIDE-R,0,,,,OFF,,,,0.0,,,,,Y,
Q050,KEY,80,,,,,,,,0.0,,,,,Y,보컬 묻히지 않게 상향
Q060,MOVER-U,,COL.04,,,FX.08,30,0..360,,,,1.0,,,,체이스→서클 교체 @1bar
Q060,MOVER-D,,COL.06,,,FX.08,30,180..540,,,,1.0,,,,
Q060,BACK,,COL.06,,,,,,,,,,1.0,,,보조색 교체
Q070,MOVER-U,0,,,,OFF,,,,2.0,,,,,,무버 아웃
Q070,MOVER-D,0,,,,OFF,,,,2.0,,,,,,
Q070,WASH-D,0,,,,,,,,2.0,,,,,,
Q070,KEY,65,COL.02,,,,,,,2.0,,,2.0,,,
Q070,BACK,30,COL.05,,,,,,,2.0,,,2.0,,,딥퍼플 보조
Q080,SIDE-L,70,COL.06,,,FX.02,120,0..360,,8.0,,,4.0,,,펄스 @1beat로 조임
Q080,SIDE-R,70,COL.06,,,FX.02,120,0..360,,8.0,,,4.0,,,
Q080,MOVER-U,55,COL.04,POS.04,BM.02,,,,,8.0,0.0,6.0,4.0,2.0,,틸트업 미드
Q080,LED-W,60,,,,,,,,8.0,,,,,,영상 큐 LW-02 콜
Q090,MOVER-U,95,COL.04,POS.05,BM.03,FX.01,240,0..360,50,0.0,,0.5,,0.0,Y,팬아웃 패스트
Q090,MOVER-D,95,COL.07,POS.02,BM.01,FX.01,240,180..540,50,0.0,,0.5,,0.0,Y,
Q090,BACK,95,COL.04,,,,,,,0.0,,,0.0,,Y,
Q090,WASH-D,95,COL.07,,,,,,,0.0,,,0.0,,Y,
Q090,LED-W,95,,,,,,,,0.0,,,,,Y,영상 큐 LW-03 콜
Q090,SIDE-L,0,,,,OFF,,,,0.0,,,,,Y,
Q090,SIDE-R,0,,,,OFF,,,,0.0,,,,,Y,
Q100,MOVER-U,,COL.01,,,FX.05,30,0..360,,,,1.0,,,,스윕 @1bar
Q100,MOVER-D,,COL.04,,,FX.05,30,180..540,,,,1.0,,,,
Q100,BLIND,70,,,,,,,,1.0,0.0,,,,,객석 각도 리허설 확정 후 진입
Q110,MOVER-U,0,,,,OFF,,,,2.5,,,,,,
Q110,MOVER-D,0,,,,OFF,,,,2.5,,,,,,
Q110,WASH-D,0,,,,,,,,2.5,,,,,,
Q110,BLIND,0,,,,,,,,1.0,,,,,,블라인더 선퇴장
Q110,LED-W,20,,,,,,,,2.5,,,,,,영상 큐 LW-04(로우) 콜
Q110,KEY,35,COL.05,POS.06,BM.04,,,,,2.5,,2.5,2.5,2.5,,센터 집중 · 프로스트
Q110,BACK,20,COL.05,POS.06,,,,,,2.5,,2.5,2.5,,,
Q110,HAZE,20,,,,,,,,2.5,,,,,,정적 구간 헤이즈 다운 · 빔 재등장 대비 잔류 유지
Q120,KEY,75,,,,,,,,7.0,,,,,,35→75 슬로우빌드
Q120,BACK,60,COL.04,,,FX.03,30,0..360,,7.0,,,7.0,,,핫핑크 침투 시작
Q120,SIDE-L,60,COL.05,,,FX.03,30,0..360,,7.0,,,7.0,,,
Q120,SIDE-R,60,COL.05,,,FX.03,30,180..540,,7.0,,,7.0,,,
Q130,MOVER-U,100,COL.04,POS.05,BM.03,FX.01,240,0..360,50,0.0,,0.5,,0.0,Y,전체 최고점
Q130,MOVER-D,100,COL.01,POS.02,BM.01,FX.01,240,180..540,50,0.0,,0.5,,0.0,Y,
Q130,BACK,100,COL.04,,,,,,,0.0,,,0.0,,Y,
Q130,WASH-D,100,COL.01,,,,,,,0.0,,,0.0,,Y,
Q130,WASH-U,100,COL.04,,,,,,,0.0,,,0.0,,Y,
Q130,SIDE-L,100,COL.01,,,FX.01,240,0..360,50,0.0,,,0.0,,Y,사이드도 체이스 합류
Q130,SIDE-R,100,COL.01,,,FX.01,240,180..540,50,0.0,,,0.0,,Y,
Q130,LED-W,100,,,,,,,,0.0,,,,,Y,영상 큐 LW-05(피크) 콜
Q140,MOVER-U,,,,,FX.08,30,0..360,,,,1.0,,,,서클 패스트
Q140,MOVER-D,,,,,FX.08,30,180..540,,,,1.0,,,,
Q140,BACK,,,,,FX.04,15,0..360,,,,,1.0,,,레인보우 @2bar
Q140,WASH-U,,,,,FX.04,15,180..540,,,,,1.0,,,
Q150,STROBE,100,,,,FX.06,15,0,,0.0,,,,,Y,@2bar 제한 · 광과민 고지 확인
Q150,BLIND,80,,,,,,,,0.0,,,,,Y,각도 확정값 사용
Q150,MOVER-U,,COL.04,,,FX.05,30,0..360,,,,0.5,,,Y,서클→스윕
Q150,MOVER-D,,COL.06,,,FX.05,30,180..540,,,,0.5,,,Y,
Q150,BACK,,COL.04,,,OFF,,,,,,,0.0,,Y,레인보우 정지
Q150,WASH-U,,COL.06,,,OFF,,,,,,,0.0,,Y,
Q160,STROBE,0,,,,OFF,,,,0.5,,,,,,스트로브 즉시 해제
Q160,BLIND,0,,,,,,,,1.0,,,,,,
Q160,SIDE-L,0,,,,OFF,,,,2.0,,,,,,
Q160,SIDE-R,0,,,,OFF,,,,2.0,,,,,,
Q160,MOVER-U,85,COL.01,,BM.02,FX.07,30,0..360,,2.0,,,2.0,2.0,,트윙클 @1bar
Q160,MOVER-D,85,COL.02,,,FX.08,15,0..360,,2.0,,,2.0,,,서클 미드로 감속
Q160,BACK,85,COL.01,,,,,,,2.0,,,2.0,,,색온도 회복
Q160,WASH-D,85,COL.02,,,,,,,2.0,,,2.0,,,
Q160,WASH-U,85,COL.01,,,,,,,2.0,,,2.0,,,
Q160,LED-W,60,,,,,,,,2.0,,,,,,영상 큐 LW-06 콜
Q170,MOVER-U,0,,,,OFF,,,,3.5,,,,,,
Q170,MOVER-D,0,,,,OFF,,,,3.5,,,,,,
Q170,WASH-D,0,,,,,,,,3.5,,,,,,
Q170,KEY,0,,,,,,,,3.5,,,,,,
Q170,LED-W,0,,,,,,,,3.5,,,,,,영상 페이드아웃 동기
Q170,BACK,20,COL.01,,,OFF,,,,3.5,,,3.5,,,잔향
