UID,Fixture Name,Fixture Type,GDTF Fixture,Fixture Mode,DMX Footprint,Channel,Position,Unit Number,Universe,DMX Address,Absolute Address,Dimmer,Circuit Number,Circuit Name,Purpose,Color,Gobo,Focus,X,Y,Z,Rotation Z,Pan,Tilt
29EC627C-45FA-1002-6BBC-7A930C396BF2,Encore 1,Martin MAC Encore Performance CLD,Martin Professional@MAC Encore Performance CLD,Basic,38,1,Upstage Truss,1,1,1,1,,U1-1,DMX-Net A,Moving profile / beam,Open White,,Stage Center,-7200.000000,0.000000,-200.000003,0,0,0
29EC627C-CEBD-1002-3E25-639C0E396BF2,Encore 2,Martin MAC Encore Performance CLD,Martin Professional@MAC Encore Performance CLD,Basic,38,2,Upstage Truss,2,1,39,39,,U1-39,DMX-Net A,Moving profile / beam,Open White,,Stage Center,-5600.000000,0.000000,-200.000003,0,0,0
29EC627C-FC8B-1002-C1A3-0B9908396BF2,Encore 3,Martin MAC Encore Performance CLD,Martin Professional@MAC Encore Performance CLD,Basic,38,3,Upstage Truss,3,1,77,77,,U1-77,DMX-Net A,Moving profile / beam,Open White,,Stage Center,-4000.000000,0.000000,-200.000003,0,0,0
29EC627C-5B84-1002-9428-348209396BF2,Encore 4,Martin MAC Encore Performance CLD,Martin Professional@MAC Encore Performance CLD,Basic,38,4,Upstage Truss,4,1,115,115,,U1-115,DMX-Net A,Moving profile / beam,Open White,,Stage Center,-2400.000000,0.000000,-200.000003,0,0,0
29EC627C-E685-1002-5F51-DD8F0B396BF2,Encore 5,Martin MAC Encore Performance CLD,Martin Professional@MAC Encore Performance CLD,Basic,38,5,Upstage Truss,5,1,153,153,,U1-153,DMX-Net A,Moving profile / beam,Open White,,Stage Center,-800.000000,0.000000,-200.000003,0,0,0
29EC627C-9CB4-1002-E2DF-C58874396BF2,Encore 6,Martin MAC Encore Performance CLD,Martin Professional@MAC Encore Performance CLD,Basic,38,6,Upstage Truss,6,1,191,191,,U1-191,DMX-Net A,Moving profile / beam,Open White,,Stage Center,800.000000,0.000000,-200.000003,0,0,0
29EC627C-CFC0-1002-B544-EEF576396BF2,Encore 7,Martin MAC Encore Performance CLD,Martin Professional@MAC Encore Performance CLD,Basic,38,7,Upstage Truss,7,1,229,229,,U1-229,DMX-Net A,Moving profile / beam,Open White,,Stage Center,2400.000000,0.000000,-200.000003,0,0,0
29EC627C-DECD-1002-78CD-96FE70396BF2,Encore 8,Martin MAC Encore Performance CLD,Martin Professional@MAC Encore Performance CLD,Basic,38,8,Upstage Truss,8,1,267,267,,U1-267,DMX-Net A,Moving profile / beam,Open White,,Stage Center,4000.000000,0.000000,-200.000003,0,0,0
29EC627C-C4C9-1002-034A-BFFB71396BF2,Encore 9,Martin MAC Encore Performance CLD,Martin Professional@MAC Encore Performance CLD,Basic,38,9,Upstage Truss,9,1,305,305,,U1-305,DMX-Net A,Moving profile / beam,Open White,,Stage Center,5600.000000,0.000000,-200.000003,0,0,0
29EC627C-75C9-1002-D6F0-A7E472396BF2,Encore 10,Martin MAC Encore Performance CLD,Martin Professional@MAC Encore Performance CLD,Basic,38,10,Upstage Truss,10,1,343,343,,U1-343,DMX-Net A,Moving profile / beam,Open White,,Stage Center,7200.000000,0.000000,-200.000003,0,0,0
